Color table files from the 2.* version have been renamed
as follows:

Original      Renamed to
------------- -------------------
blue11        blue1
colour        pinkbase1
default       bluebase1
esrin1        bluebase2
esrin21       (deleted = default)
exo11         pinkbase2
exo15         bluebase3
exo15_2       bluebase4
exo16         bluebase5
exo2          bluebase6
exo7          pinkbase3
exo_vt        vt1
exonew        bluebase7
exotest       pinkbase4
gray16        gray1
gray7         gray2
green11       green1
green15       green2
green16       green3
green7        green4
invgray16     invgray
monocr116     green5
monocr216     brown
noframe7      (deleted)
plot          pinkbase5
plot1         vt2
plot2         vt3
plot3         vt4
plot4         vt5
plot5         vt6
prova7        blue2
red11         red1
sao216        pink1
saobb         redbase1
saobbr        redbase2
saorb         pink2
saord         pink3
saorg         (deleted = saord)
saorg1        (deleted = sg)
saorgd        (deleted = ye)
saorp         (deleted = tor)
saotest       purple1
sg            redbase3
special       bluebase8
test1         bluebase9
test7         vt7
tor           redbase4
ye            redbase5
